Op,Format,ABLayout,CTAGroup,M,N,K,PipelineDepth,Cycles,CyclesPerMMA,FLOPsPerCycle
WS,BF16,TS,1,64,128,16,64,2923391,45.678,5738.955295766014
WS,BF16,TS,1,64,128,16,128,5739391,44.839,5846.339124422935
WS,BF16,TS,1,64,128,16,256,11381002,44.457,5896.574217783476
WS,BF16,TS,1,64,256,16,16,1322773,82.6733,6341.684679334198
WS,BF16,TS,1,64,256,16,32,2539391,79.356,6606.784616160089
WS,BF16,TS,1,64,256,16,64,4971391,77.678,6749.504364170036
WS,BF16,TS,1,64,256,16,128,9835672,76.8412,6823.006408020698
WS,BF16,TS,1,64,256,16,256,19572935,76.4568,6857.310271944418
WS,BF16,TS,1,128,64,16,16,778770,48.6731,5385.8085883167505
WS,BF16,TS,1,128,64,16,32,1451389,45.3559,5779.711129092357
WS,BF16,TS,1,128,64,16,64,2795389,43.678,6001.74000641055
WS,BF16,TS,1,128,64,16,128,5483389,42.839,6119.283830154765
WS,BF16,TS,1,128,64,16,256,10868811,42.4563,6174.442897756046
WS,BF16,TS,1,128,128,16,16,1290523,80.6577,6500.160555036902
WS,BF16,TS,1,128,128,16,32,2475018,77.3443,6778.624927758089
WS,BF16,TS,1,128,128,16,64,4843017,75.6721,6928.418796359557
WS,BF16,TS,1,128,128,16,128,9579761,74.8419,7005.273783802923
WS,BF16,TS,1,128,128,16,256,19059945,74.4529,7041.874796011975
WS,BF16,TS,1,128,256,16,16,2314770,144.6731,7247.898883759316
WS,BF16,TS,1,128,256,16,32,4523389,141.3559,7417.985382994272
WS,BF16,TS,1,128,256,16,64,8939883,139.6857,7506.68107043169
WS,BF16,TS,1,128,256,16,128,17771883,138.8428,7552.253339748261
WS,BF16,TS,1,128,256,16,256,35444811,138.4563,7573.33541341203
WS,TF32,SS,1,32,64,8,16,562770,35.1731,931.621039942456
WS,TF32,SS,1,32,64,8,32,1011389,31.6059,1036.7684514600123
WS,TF32,SS,1,32,64,8,64,1907389,29.803,1099.4866288628662
WS,TF32,SS,1,32,64,8,128,3699389,28.9015,1133.7819836340675
WS,TF32,SS,1,32,64,8,256,7292810,28.4875,1150.2588854760859
WS,TF32,SS,1,32,128,8,16,818770,51.1731,1280.6728535109266
WS,TF32,SS,1,32,128,8,32,1523389,47.6059,1376.6360892242349
WS,TF32,SS,1,32,128,8,64,2931389,45.803,1430.8233085169095
WS,TF32,SS,1,32,128,8,128,5747389,44.9015,1459.550349097469
WS,TF32,SS,1,32,128,8,256,11388808,44.4875,1473.1329025007026
WS,TF32,SS,1,32,256,8,16,1330770,83.1731,1575.8941292316865
WS,TF32,SS,1,32,256,8,32,2547389,79.6059,1646.5111254316575
WS,TF32,SS,1,32,256,8,64,4979389,77.803,1684.6651157410383
WS,TF32,SS,1,32,256,8,128,9843883,76.9053,1704.3298706331034
WS,TF32,SS,1,32,256,8,256,19580808,76.4875,1713.6394835757478
WS,TF32,SS,1,64,64,8,16,630773,39.4233,1662.3671788003542
WS,TF32,SS,1,64,64,8,32,1143391,35.731,1834.149617978786
WS,TF32,SS,1,64,64,8,64,2167391,33.8655,1935.1847750660704
WS,TF32,SS,1,64,64,8,128,4215391,32.9327,1989.9977833581822
WS,TF32,SS,1,64,64,8,256,8319780,32.4991,2016.5481505641696
WS,TF32,SS,1,64,128,8,16,886770,55.4231,2364.934476779538
WS,TF32,SS,1,64,128,8,32,1655387,51.7308,2533.7323219436003
WS,TF32,SS,1,64,128,8,64,3191387,49.8654,2628.51596497772
WS,TF32,SS,1,64,128,8,128,6263387,48.9327,2678.617775025699
WS,TF32,SS,1,64,128,8,256,12416808,48.5032,2702.3371653829026
WS,TF32,SS,1,64,256,8,16,1398770,87.4231,2998.566740369536
WS,TF32,SS,1,64,256,8,32,2679389,83.7309,3130.7916193424408
WS,TF32,SS,1,64,256,8,64,5239389,81.8655,3202.130323518454
WS,TF32,SS,1,64,256,8,128,10359883,80.9366,3238.8808029988904
WS,TF32,SS,1,64,256,8,256,20608808,80.5032,3256.317761281539
WS,TF32,SS,1,128,64,8,16,900770,56.2981,2328.1780379799675
WS,TF32,SS,1,128,64,8,32,1669387,52.1683,2512.4836346976995
WS,TF32,SS,1,128,64,8,64,3205387,50.0842,2617.0329165684984
WS,TF32,SS,1,128,64,8,128,6277387,49.0421,2672.64248472231
WS,TF32,SS,1,128,64,8,256,12428814,48.5501,2699.7266740954187
WS,TF32,SS,1,128,128,8,16,1322773,82.6733,3170.842339667099
WS,TF32,SS,1,128,128,8,32,2507391,78.356,3345.551074582674
WS,TF32,SS,1,128,128,8,64,4875391,76.178,3441.203497072646
WS,TF32,SS,1,128,128,8,128,9611611,75.0907,3491.0315125574807
WS,TF32,SS,1,128,128,8,256,19093086,74.5824,3514.823872656283
WS,TF32,SS,1,128,256,8,16,2346770,146.6731,3574.5341170262304
WS,TF32,SS,1,128,256,8,32,4555389,142.3559,3682.9383257033955
WS,TF32,SS,1,128,256,8,64,8971883,140.1857,3739.9535045300627
WS,TF32,SS,1,128,256,8,128,17803883,139.0928,3769.339606363521
WS,TF32,SS,1,128,256,8,256,35474840,138.5736,3783.4623622392724
WS,TF32,TS,1,32,64,8,16,554522,34.6576,945.4780481048889
WS,TF32,TS,1,32,64,8,32,1003141,31.3482,1045.2912766921227
WS,TF32,TS,1,32,64,8,64,1899141,29.6741,1104.2626398104744
WS,TF32,TS,1,32,64,8,128,3691141,28.837,1136.3179248881645
WS,TF32,TS,1,32,64,8,256,7284489,28.455,1151.5726585837288
WS,TF32,TS,1,32,128,8,16,810522,50.6576,1293.705189349673
WS,TF32,TS,1,32,128,8,32,1515141,47.3482,1384.12864691794
WS,TF32,TS,1,32,128,8,64,2923141,45.6741,1434.8613327903558
WS,TF32,TS,1,32,128,8,128,5739141,44.837,1461.6499765818407
WS,TF32,TS,1,32,128,8,256,11380491,44.455,1474.2098751546507
WS,TF32,TS,1,32,256,8,16,1322522,82.6576,1585.722305027003
WS,TF32,TS,1,32,256,8,32,2539141,79.3482,1651.8585172694527
WS,TF32,TS,1,32,256,8,64,4971141,77.6741,1687.4608138362723
WS,TF32,TS,1,32,256,8,128,9835635,76.8409,1705.7582615508147
WS,TF32,TS,1,32,256,8,256,19572491,76.455,1714.3679288470341
WS,TF32,TS,1,64,64,8,16,554523,34.6577,1890.950640117492
WS,TF32,TS,1,64,64,8,32,1003017,31.3443,2090.842673149504
WS,TF32,TS,1,64,64,8,64,1899017,29.6721,2208.6741417021376
WS,TF32,TS,1,64,64,8,128,3691017,28.8361,2272.706780736646
WS,TF32,TS,1,64,64,8,256,7284069,28.4534,2303.2748283157725
WS,TF32,TS,1,64,128,8,16,810522,50.6576,2587.410378699346
WS,TF32,TS,1,64,128,8,32,1515141,47.3482,2768.25729383588
WS,TF32,TS,1,64,128,8,64,2923141,45.6741,2869.7226655807117
WS,TF32,TS,1,64,128,8,128,5739141,44.837,2923.2999531636815
WS,TF32,TS,1,64,128,8,256,11380491,44.455,2948.4197503093014
WS,TF32,TS,1,64,256,8,16,1322522,82.6576,3171.444610054006
WS,TF32,TS,1,64,256,8,32,2539141,79.3482,3303.7170345389054
WS,TF32,TS,1,64,256,8,64,4971141,77.6741,3374.9216276725447
WS,TF32,TS,1,64,256,8,128,9835635,76.8409,3411.5165231016294
WS,TF32,TS,1,64,256,8,256,19572491,76.455,3428.7358576940683
WS,TF32,TS,1,128,64,8,16,778522,48.6576,2693.762125546677
WS,TF32,TS,1,128,64,8,32,1451017,45.3443,2890.594848746149
WS,TF32,TS,1,128,64,8,64,2795017,43.6721,3001.275413822555
WS,TF32,TS,1,128,64,8,128,5483017,42.8361,3059.8490525514694
WS,TF32,TS,1,128,64,8,256,10867879,42.4527,3087.483246059732
WS,TF32,TS,1,128,128,8,16,1291022,80.6889,3248.8235680496323
WS,TF32,TS,1,128,128,8,32,2475641,77.3638,3388.458167773558
WS,TF32,TS,1,128,128,8,64,4843641,75.6819,3463.760819958273
WS,TF32,TS,1,128,128,8,128,9580135,74.8448,3502.5011757663856
WS,TF32,TS,1,128,128,8,256,19060691,74.4558,3520.800260020039
WS,TF32,TS,1,128,256,8,16,2314522,144.6576,3624.3377465131452
WS,TF32,TS,1,128,256,8,32,4523017,141.3443,3709.297085202587
WS,TF32,TS,1,128,256,8,64,8939636,139.6818,3753.445330744592
WS,TF32,TS,1,128,256,8,128,17771636,138.8409,3776.178345141813
WS,TF32,TS,1,128,256,8,256,35443877,138.4526,3786.7689014146363
WS,E4M3,SS,1,32,64,32,32,1011265,31.602,4147.585595848364
WS,E4M3,SS,1,32,64,32,64,1907265,29.801,4398.241669742626
WS,E4M3,SS,1,32,64,32,128,3699265,28.9005,4535.284856663379
WS,E4M3,SS,1,32,64,32,256,7292689,28.4871,4601.100147084118
WS,E4M3,SS,1,32,64,32,512,14460177,28.2425,4640.948924493228
WS,E4M3,SS,1,32,128,32,32,1523265,47.602,5506.995504390572
WS,E4M3,SS,1,32,128,32,64,2931265,45.801,5723.543154079605
WS,E4M3,SS,1,32,128,32,128,5747265,44.9005,5838.33142169909
WS,E4M3,SS,1,32,128,32,256,11388145,44.4849,5892.87600961225
WS,E4M3,SS,1,32,128,32,512,22652186,44.2426,5925.149064476319
WS,E4M3,SS,1,32,256,32,32,2547265,79.602,6586.367176704102
WS,E4M3,SS,1,32,256,32,64,4979265,77.801,6738.833691083662
WS,E4M3,SS,1,32,256,32,128,9842956,76.8981,6817.957790894704
WS,E4M3,SS,1,32,256,32,256,19580925,76.488,6854.513126242025
WS,E4M3,SS,1,32,256,32,512,39035554,76.2413,6876.692816098362
WS,E4M3,SS,1,64,64,32,32,1143389,35.7309,7336.619004838949
WS,E4M3,SS,1,64,64,32,64,2167389,33.8655,7740.739100264282
WS,E4M3,SS,1,64,64,32,128,4215389,32.9327,7959.991133432729
WS,E4M3,SS,1,64,64,32,256,8318827,32.4954,8067.1110372545045
WS,E4M3,SS,1,64,64,32,512,16510825,32.2477,8129.0758720776985
WS,E4M3,SS,1,64,128,32,32,1655265,51.727,10135.673826048293
WS,E4M3,SS,1,64,128,32,64,3191263,49.8635,10514.464488052383
WS,E4M3,SS,1,64,128,32,128,6263263,48.9317,10714.690067992733
WS,E4M3,SS,1,64,128,32,256,12416409,48.5016,10809.705246837217
WS,E4M3,SS,1,64,128,32,512,24704048,48.2501,10866.050018549184
WS,E4M3,SS,1,64,256,32,32,2679265,83.727,12523.749805916848
WS,E4M3,SS,1,64,256,32,64,5239265,81.8635,12808.834217935953
WS,E4M3,SS,1,64,256,32,128,10358956,80.9293,12956.691828546645
WS,E4M3,SS,1,64,256,32,256,20608298,80.5012,13025.594649520754
WS,E4M3,SS,1,64,256,32,512,41088685,80.2513,13066.155937660822
WS,E4M3,SS,1,128,64,32,32,1669265,52.1645,10050.6666411065
WS,E4M3,SS,1,128,64,32,64,3205263,50.0822,10468.549704286153
WS,E4M3,SS,1,128,64,32,128,6277263,49.0411,10690.78793093956
WS,E4M3,SS,1,128,64,32,256,12429895,48.5543,10797.97257915365
WS,E4M3,SS,1,128,64,32,512,24718443,48.2782,10859.72550757899
WS,E4M3,SS,1,128,128,32,32,2507389,78.3559,13382.221377075624
WS,E4M3,SS,1,128,128,32,64,4875389,76.178,13764.813988290583
WS,E4M3,SS,1,128,128,32,128,9611883,75.0928,13963.735537894447
WS,E4M3,SS,1,128,128,32,256,19092811,74.5813,14059.502851250916
WS,E4M3,SS,1,128,128,32,512,38036811,74.2906,14114.517852864294
WS,E4M3,SS,1,128,256,32,32,4555265,142.352,14732.156906822524
WS,E4M3,SS,1,128,256,32,64,8970956,140.1712,14961.361535037155
WS,E4M3,SS,1,128,256,32,128,17802956,139.0856,15078.13893027028
WS,E4M3,SS,1,128,256,32,256,35476082,138.5784,15133.32525126571
WS,E4M3,SS,1,128,256,32,512,70801548,138.2843,15165.51047371249
WS,E4M3,TS,1,32,64,32,32,1003391,31.356,4180.125015945911
WS,E4M3,TS,1,32,64,32,64,1899391,29.678,4416.470112541277
WS,E4M3,TS,1,32,64,32,128,3691391,28.839,4544.956482541003
WS,E4M3,TS,1,32,64,32,256,7284319,28.4544,4606.387764282501
WS,E4M3,TS,1,32,64,32,512,14452020,28.2266,4643.563163824194
WS,E4M3,TS,1,32,128,32,32,1515391,47.356,5535.602669144353
WS,E4M3,TS,1,32,128,32,64,2923391,45.678,5738.955295766014
WS,E4M3,TS,1,32,128,32,128,5739391,44.839,5846.339124422935
WS,E4M3,TS,1,32,128,32,256,11381002,44.457,5896.574217783476
WS,E4M3,TS,1,32,128,32,512,22644866,44.2283,5927.064797878282
WS,E4M3,TS,1,32,256,32,32,2539391,79.356,6606.784616160089
WS,E4M3,TS,1,32,256,32,64,4971391,77.678,6749.504364170036
WS,E4M3,TS,1,32,256,32,128,9835672,76.8412,6823.006408020698
WS,E4M3,TS,1,32,256,32,256,19572415,76.4547,6857.498623367824
WS,E4M3,TS,1,32,256,32,512,39028871,76.2283,6877.8655696112855
WS,E4M3,TS,1,64,64,32,32,1003141,31.3482,8362.330213536981
WS,E4M3,TS,1,64,64,32,64,1899141,29.6741,8834.101118483795
WS,E4M3,TS,1,64,64,32,128,3691141,28.837,9090.543399105316
WS,E4M3,TS,1,64,64,32,256,7284565,28.4553,9212.484141794323
WS,E4M3,TS,1,64,64,32,512,14452565,28.2277,9286.764419346953
WS,E4M3,TS,1,64,128,32,32,1515391,47.356,11071.205338288706
WS,E4M3,TS,1,64,128,32,64,2923391,45.678,11477.910591532029
WS,E4M3,TS,1,64,128,32,128,5739391,44.839,11692.67824884587
WS,E4M3,TS,1,64,128,32,256,11381002,44.457,11793.148435566953
WS,E4M3,TS,1,64,128,32,512,22644866,44.2283,11854.129595756564
WS,E4M3,TS,1,64,256,32,32,2539391,79.356,13213.569232320178
WS,E4M3,TS,1,64,256,32,64,4971391,77.678,13499.008728340072
WS,E4M3,TS,1,64,256,32,128,9835672,76.8412,13646.012816041395
WS,E4M3,TS,1,64,256,32,256,19572450,76.4549,13714.961369382474
WS,E4M3,TS,1,64,256,32,512,39028871,76.2283,13755.731139222571
WS,E4M3,TS,1,128,64,32,32,1451389,45.3559,11559.422258184713
WS,E4M3,TS,1,128,64,32,64,2795389,43.678,12003.4800128211
WS,E4M3,TS,1,128,64,32,128,5483389,42.839,12238.56766030953
WS,E4M3,TS,1,128,64,32,256,10868811,42.4563,12348.885795512091
WS,E4M3,TS,1,128,64,32,512,21620813,42.2282,12415.58958231703
WS,E4M3,TS,1,128,128,32,32,2475017,77.3443,13557.249855516178
WS,E4M3,TS,1,128,128,32,64,4843017,75.6721,13856.837592719114
WS,E4M3,TS,1,128,128,32,128,9579635,74.8409,14010.734772029731
WS,E4M3,TS,1,128,128,32,256,19059943,74.4529,14083.74959202395
WS,E4M3,TS,1,128,128,32,512,38003945,74.2265,14126.70676914579
WS,E4M3,TS,1,128,256,32,32,4523389,141.3559,14835.970765988544
WS,E4M3,TS,1,128,256,32,64,8939883,139.6857,15013.36214086338
WS,E4M3,TS,1,128,256,32,128,17771883,138.8428,15104.506679496522
WS,E4M3,TS,1,128,256,32,256,35444811,138.4563,15146.67082682406
WS,E4M3,TS,1,128,256,32,512,70770322,138.2233,15172.20323925127
WS,S8,SS,1,32,64,32,32,1010265,31.5708,4151.6844679260585
WS,S8,SS,1,32,64,32,64,1906265,29.7854,4400.54523357081
WS,S8,SS,1,32,64,32,128,3698265,28.8927,4536.509222052629
WS,S8,SS,1,32,64,32,256,7291689,28.4832,4601.730142680598
WS,S8,SS,1,32,64,32,512,14459177,28.2406,4641.261163006451
WS,S8,SS,1,32,128,32,32,1522265,47.5708,5510.60734736435
WS,S8,SS,1,32,128,32,64,2930265,45.7854,5725.493279517051
WS,S8,SS,1,32,128,32,128,5746265,44.8927,5839.345817916945
WS,S8,SS,1,32,128,32,256,11387145,44.481,5893.392684516984
WS,S8,SS,1,32,128,32,512,22651186,44.2406,5925.416924725252
WS,S8,SS,1,32,256,32,32,2546265,79.5708,6588.949715222167
WS,S8,SS,1,32,256,32,64,4978265,77.7854,6740.185176138453
WS,S8,SS,1,32,256,32,128,9841956,76.8903,6818.649426520641
WS,S8,SS,1,32,256,32,256,19579925,76.4841,6854.8626446542485
WS,S8,SS,1,32,256,32,512,39034615,76.2395,6876.855173499301
WS,S8,SS,1,64,64,32,32,1142389,35.6997,7343.030893817035
WS,S8,SS,1,64,64,32,64,2166389,33.8498,7744.329360882486
WS,S8,SS,1,64,64,32,128,4214389,32.9249,7961.876877378519
WS,S8,SS,1,64,64,32,256,8317827,32.4915,8068.079343828385
WS,S8,SS,1,64,64,32,512,16509823,32.2457,8129.58006804008
WS,S8,SS,1,64,128,32,32,1654265,51.6958,10141.79101590458
WS,S8,SS,1,64,128,32,64,3190263,49.8479,10517.755010742678
WS,S8,SS,1,64,128,32,128,6262263,48.9239,10716.398324745165
WS,S8,SS,1,64,128,32,256,12415409,48.4977,10810.574522090737
WS,S8,SS,1,64,128,32,512,24703048,48.2481,10866.500442504472
WS,S8,SS,1,64,256,32,32,2678265,83.6958,12528.418391364918
WS,S8,SS,1,64,256,32,64,5238265,81.8479,12811.275548914511
WS,S8,SS,1,64,256,32,128,10357956,80.9215,12957.940720327726
WS,S8,SS,1,64,256,32,256,20607298,80.4973,13026.225724341066
WS,S8,SS,1,64,256,32,512,41087685,80.2494,13066.46529444457
WS,S8,SS,1,128,64,32,32,1668265,52.1333,10056.681621919195
WS,S8,SS,1,128,64,32,64,3204263,50.0666,10471.81154701937
WS,S8,SS,1,128,64,32,128,6276263,49.0333,10692.488574091485
WS,S8,SS,1,128,64,32,256,12428895,48.5504,10798.839968362772
WS,S8,SS,1,128,64,32,512,24717443,48.2763,10860.152911470017
WS,S8,SS,1,128,128,32,32,2506389,78.3247,13387.552074888252
WS,S8,SS,1,128,128,32,64,4874389,76.1623,13767.651449601706
WS,S8,SS,1,128,128,32,128,9610883,75.085,13965.18612239462
WS,S8,SS,1,128,128,32,256,19091811,74.5774,14060.238088214393
WS,S8,SS,1,128,128,32,512,38035813,74.2887,14114.878844292603
WS,S8,SS,1,128,256,32,32,4554265,142.3208,14735.386535207785
WS,S8,SS,1,128,256,32,64,8969956,140.1556,14963.026807348406
WS,S8,SS,1,128,256,32,128,17801956,139.0778,15078.984568349515
WS,S8,SS,1,128,256,32,256,35475082,138.5745,15133.751159123793
WS,S8,SS,1,128,256,32,512,70800548,138.2823,15165.729815023326
WS,S8,TS,1,32,64,32,32,1002391,31.3247,4184.301844870022
WS,S8,TS,1,32,64,32,64,1898391,29.6624,4418.7928151464475
WS,S8,TS,1,32,64,32,128,3690391,28.8312,4546.186076195233
WS,S8,TS,1,32,64,32,256,7283319,28.4505,4607.019208801251
WS,S8,TS,1,32,64,32,512,14451020,28.2246,4643.892207506927
WS,S8,TS,1,32,128,32,32,1514391,47.3247,5539.26385164618
WS,S8,TS,1,32,128,32,64,2922391,45.6624,5740.915939591437
WS,S8,TS,1,32,128,32,128,5738391,44.8312,5847.356305430147
WS,S8,TS,1,32,128,32,256,11380002,44.4531,5897.091541422308
WS,S8,TS,1,32,128,32,512,22643866,44.2263,5927.332831369569
WS,S8,TS,1,32,256,32,32,2538391,79.3247,6609.39152622071
WS,S8,TS,1,32,256,32,64,4970391,77.6624,6750.860133088856
WS,S8,TS,1,32,256,32,128,9834672,76.8334,6823.69906837391
WS,S8,TS,1,32,256,32,256,19571415,76.4508,6857.8484463210325
WS,S8,TS,1,32,256,32,512,39027871,76.2263,6878.046028732866
WS,S8,TS,1,64,64,32,32,1002141,31.3169,8370.6880310631
WS,S8,TS,1,64,64,32,64,1898141,29.6585,8838.747745165803
WS,S8,TS,1,64,64,32,128,3690141,28.8292,9093.002927587308
WS,S8,TS,1,64,64,32,256,7283565,28.4514,9213.746950940902
WS,S8,TS,1,64,64,32,512,14451565,28.2257,9287.422455421833
WS,S8,TS,1,64,128,32,32,1514391,47.3247,11078.52770329236
WS,S8,TS,1,64,128,32,64,2922391,45.6624,11481.831879182873
WS,S8,TS,1,64,128,32,128,5738391,44.8312,11694.712610860293
WS,S8,TS,1,64,128,32,256,11380002,44.4531,11794.183082844616
WS,S8,TS,1,64,128,32,512,22643866,44.2263,11854.665662739138
WS,S8,TS,1,64,256,32,32,2538391,79.3247,13218.78305244142
WS,S8,TS,1,64,256,32,64,4970391,77.6624,13501.720266177712
WS,S8,TS,1,64,256,32,128,9834672,76.8334,13647.39813674782
WS,S8,TS,1,64,256,32,256,19571450,76.451,13715.661011628365
WS,S8,TS,1,64,256,32,512,39027871,76.2263,13756.092057465732
WS,S8,TS,1,128,64,32,32,1450389,45.3247,11567.379375925268
WS,S8,TS,1,128,64,32,64,2794389,43.6623,12007.796199467275
WS,S8,TS,1,128,64,32,128,5482389,42.8312,12240.79642877155
WS,S8,TS,1,128,64,32,256,10867811,42.4524,12350.02025798306
WS,S8,TS,1,128,64,32,512,21619813,42.2262,12416.177633791343
WS,S8,TS,1,128,128,32,32,2474017,77.313,13562.738478651714
WS,S8,TS,1,128,128,32,64,4842017,75.6565,13859.694804808576
WS,S8,TS,1,128,128,32,128,9578635,74.8331,14012.195138247647
WS,S8,TS,1,128,128,32,256,19058943,74.449,14084.487367190963
WS,S8,TS,1,128,128,32,512,38002945,74.2245,14127.087417227463
WS,S8,TS,1,128,256,32,32,4522389,141.3247,14839.246076588168
WS,S8,TS,1,128,256,32,64,8938883,139.67,15015.049760148924
WS,S8,TS,1,128,256,32,128,17770883,138.835,15105.355277847804
WS,S8,TS,1,128,256,32,256,35443811,138.4524,15147.097486211867
WS,S8,TS,1,128,256,32,512,70771062,138.2247,15172.049568564806
WS,F4,SS,1,32,64,64,64,1907265,29.801,8796.483339485252
WS,F4,SS,1,32,64,64,128,3699265,28.9005,9070.569713326759
WS,F4,SS,1,32,64,64,256,7292689,28.4871,9202.200294168237
WS,F4,SS,1,32,64,64,512,14460177,28.2425,9281.897848986457
WS,F4,SS,1,32,64,64,1024,28822567,28.147,9313.390414609017
WS,F4,SS,1,32,128,64,64,2931265,45.801,11447.08630815921
WS,F4,SS,1,32,128,64,128,5747265,44.9005,11676.66284339818
WS,F4,SS,1,32,128,64,256,11388145,44.4849,11785.7520192245
WS,F4,SS,1,32,128,64,512,22652186,44.2426,11850.298128952638
WS,F4,SS,1,32,128,64,1024,45205604,44.1461,11876.201974806383
WS,F4,SS,1,32,256,64,64,4979265,77.801,13477.667382167325
WS,F4,SS,1,32,256,64,128,9842956,76.8981,13635.915581789408
WS,F4,SS,1,32,256,64,256,19580399,76.4859,13709.402648069774
WS,F4,SS,1,32,256,64,512,39035554,76.2413,13753.385632196723
WS,F4,SS,1,32,256,64,1024,77974133,76.1466,13770.49008097538
WS,F4,SS,1,64,64,64,64,2167389,33.8655,15481.478200528563
