Format,ABLayout,CTAGroup,M,N,K,PipelineDepth,Cycles,CyclesPerMMA,FLOPsPerCycle
BF16,TS,1,128,256,16,256,32893841,128.4916,8160.657972972552
E4M3,SS,1,64,64,32,32,1157289,36.1653,7248.4951044233
E4M3,SS,1,64,64,32,64,2181289,34.0826,7691.431991690775
E4M3,SS,1,64,64,32,128,4229289,33.0413,7933.828269468816
E4M3,SS,1,64,64,32,256,8334214,32.5555,8052.21851914423
E4M3,SS,1,64,64,32,512,16526214,32.2778,8121.495269194307
E4M3,SS,1,64,128,32,32,2181289,68.1653,7691.420708190238
E4M3,SS,1,64,128,32,64,4229289,66.0826,7933.828269468816
E4M3,SS,1,64,128,32,128,8325783,65.0452,8060.364177525783
E4M3,SS,1,64,128,32,256,16526216,64.5555,8121.507849834639
E4M3,SS,1,64,128,32,512,32908230,64.2739,8157.090203021756
E4M3,SS,1,64,256,32,32,4229289,132.1653,7933.822266510196
E4M3,SS,1,64,256,32,64,8319831,129.9974,8066.130553380299
E4M3,SS,1,64,256,32,128,16517783,129.0452,8125.64899740556
E4M3,SS,1,64,256,32,256,32910216,128.5555,8156.601623423347
E4M3,SS,1,64,256,32,512,65676232,128.2739,8174.5078305095585
E4M3,SS,1,128,64,32,32,1669289,52.1653,10050.51250543944
E4M3,SS,1,128,64,32,64,3205287,50.0826,10468.46609401269
E4M3,SS,1,128,64,32,128,6277287,49.0413,10690.744331818283
E4M3,SS,1,128,64,32,256,12428222,48.5477,10799.440550221741
E4M3,SS,1,128,64,32,512,24718216,48.2778,10859.815484549834
E4M3,SS,1,128,128,32,32,2197289,68.6653,15270.828205804095
E4M3,SS,1,128,128,32,64,4245289,66.3326,15807.8531521454
E4M3,SS,1,128,128,32,128,8341783,65.1702,16089.807918343047
E4M3,SS,1,128,128,32,256,16542216,64.618,16227.30508527036
E4M3,SS,1,128,128,32,512,32926200,64.309,16305.27608888336
E4M3,SS,1,128,256,32,32,4245289,132.6653,15807.841236555452
E4M3,SS,1,128,256,32,64,8336281,130.2544,16100.431156260363
E4M3,SS,1,128,256,32,128,16533783,129.1702,16235.57136243499
E4M3,SS,1,128,256,32,256,32926216,128.618,16305.27608888336
E4M3,SS,1,128,256,32,512,65694216,128.309,16344.543251057994
E4M3,TS,1,64,64,32,32,1140915,35.6536,7352.525411178675
E4M3,TS,1,64,64,32,64,2164915,33.8268,7749.594995683896
E4M3,TS,1,64,64,32,128,4212915,32.9134,7964.658771199572
E4M3,TS,1,64,64,32,256,8318595,32.4945,8067.334471987567
E4M3,TS,1,64,64,32,512,16510110,32.2463,8129.42880268434
E4M3,TS,1,64,128,32,32,2164915,67.6536,7749.594995683896
E4M3,TS,1,64,128,32,64,4212915,65.8268,7964.658771199572
E4M3,TS,1,64,128,32,128,8309582,64.9186,8076.082971598279
E4M3,TS,1,64,128,32,256,16510112,64.4926,8129.42880268434
E4M3,TS,1,64,128,32,512,32894107,64.2463,8160.594462249187
E4M3,TS,1,64,256,32,32,4212915,131.6536,7964.658771199572
E4M3,TS,1,64,256,32,64,8309286,129.8326,8076.36910914516
E4M3,TS,1,64,256,32,128,16501289,128.9163,8133.773619007061
E4M3,TS,1,64,256,32,256,32894111,128.4926,8160.594462249187
E4M3,TS,1,64,256,32,512,65662107,128.2463,8176.267073591987
E4M3,TS,1,128,64,32,32,1141163,35.6613,14701.875702792664
E4M3,TS,1,128,64,32,64,2165163,33.8307,15497.403246163987
E4M3,TS,1,128,64,32,128,4213163,32.9153,15928.398039817348
E4M3,TS,1,128,64,32,256,8318583,32.4945,16134.668943975134
E4M3,TS,1,128,64,32,512,16510587,32.2472,16258.403830410083
E4M3,TS,1,128,128,32,32,2165163,67.6613,15497.426150546917
E4M3,TS,1,128,128,32,64,4213163,65.8307,15928.373843814514
E4M3,TS,1,128,128,32,128,8309529,64.9182,16152.26546638693
E4M3,TS,1,128,128,32,256,16510583,64.4945,16258.378621432836
E4M3,TS,1,128,128,32,512,32894587,64.2472,16320.960290876488
E4M3,TS,1,128,256,32,32,4213163,131.6613,15928.38594180674
E4M3,TS,1,128,256,32,64,8309531,129.8364,16152.26546638693
E4M3,TS,1,128,256,32,128,16501535,128.9182,16267.307486452648
E4M3,TS,1,128,256,32,256,32894587,128.4945,16320.947589196427
E4M3,TS,1,128,256,32,512,65662587,128.2472,16352.41939005296
S8,SS,1,64,64,32,32,1156289,36.134,7254.773897160569
S8,SS,1,64,64,32,64,2180289,34.067,7694.954061114862
S8,SS,1,64,64,32,128,4228289,33.0335,7935.70163621778
S8,SS,1,64,64,32,256,8333214,32.5516,8053.18325366495
S8,SS,1,64,64,32,512,16525214,32.2758,8121.99852521084
S8,SS,1,64,128,32,32,2180289,68.134,7694.954061114862
S8,SS,1,64,128,32,64,4228289,66.067,7935.70163621778
S8,SS,1,64,128,32,128,8324783,65.0374,8061.330865009978
S8,SS,1,64,128,32,256,16525216,64.5516,8121.99852521084
S8,SS,1,64,128,32,512,32909216,64.2758,8156.849078502329
S8,SS,1,64,256,32,32,4228289,132.134,7935.70163621778
S8,SS,1,64,256,32,64,8318831,129.9817,8067.104830910814
S8,SS,1,64,256,32,128,16516783,129.0374,8126.140173314094
S8,SS,1,64,256,32,256,32909216,128.5516,8156.849078502329
S8,SS,1,64,256,32,512,65677218,128.2758,8174.386751047353
S8,SS,1,128,64,32,32,1668289,52.134,10056.546591475812
S8,SS,1,128,64,32,64,3204287,50.067,10471.727884634589
S8,SS,1,128,64,32,128,6276287,49.0335,10692.444961098026
S8,SS,1,128,64,32,256,12427222,48.5438,10800.308175297361
S8,SS,1,128,64,32,512,24717216,48.2758,10860.26539176979
S8,SS,1,128,128,32,32,2196289,68.634,15277.792347815952
S8,SS,1,128,128,32,64,4244289,66.317,15811.57169353258
S8,SS,1,128,128,32,128,8340783,65.1624,16091.733883343768
S8,SS,1,128,128,32,256,16541216,64.6141,16228.28453851404
S8,SS,1,128,128,32,512,32925200,64.307,16305.78319623058
S8,SS,1,128,256,32,32,4244289,132.634,15811.57169353258
S8,SS,1,128,256,32,64,8335281,130.2388,16102.359665476033
S8,SS,1,128,256,32,128,16532783,129.1624,16236.551813840562
S8,SS,1,128,256,32,256,32925216,128.6141,16305.770518162471
S8,SS,1,128,256,32,512,65693216,128.3071,16344.785284680273
S8,TS,1,64,64,32,32,1139915,35.6223,7358.98580383636
S8,TS,1,64,64,32,64,2163915,33.8112,7753.170547037668
S8,TS,1,64,64,32,128,4211915,32.9056,7966.546727608675
S8,TS,1,64,64,32,256,8317595,32.4906,8068.302832203775
S8,TS,1,64,64,32,512,16509110,32.2444,8129.907828956346
S8,TS,1,64,128,32,32,2163915,67.6223,7753.182012442641
S8,TS,1,64,128,32,64,4211915,65.8112,7966.546727608675
S8,TS,1,64,128,32,128,8308582,64.9108,8077.053433326966
S8,TS,1,64,128,32,256,16509112,64.4887,8129.920435673227
S8,TS,1,64,128,32,512,32893107,64.2443,8160.848511074135
S8,TS,1,64,256,32,32,4211915,131.6223,7966.552780189983
S8,TS,1,64,256,32,64,8308286,129.817,8077.339639646579
S8,TS,1,64,256,32,128,16500289,128.9085,8134.265777664002
S8,TS,1,64,256,32,256,32893111,128.4887,8160.842159660733
S8,TS,1,64,256,32,512,65661107,128.2443,8176.394584398682
S8,TS,1,128,64,32,32,1140163,35.6301,14714.74960777545
S8,TS,1,128,64,32,64,2164163,33.815,15504.598550938934
S8,TS,1,128,64,32,128,4212163,32.9075,15932.17351667553
S8,TS,1,128,64,32,256,8317583,32.4906,16136.60566440755
S8,TS,1,128,64,32,512,16509587,32.2453,16259.361829475924
S8,TS,1,128,128,32,32,2164163,67.6301,15504.575625350251
S8,TS,1,128,128,32,64,4212163,65.815,15932.17351667553
S8,TS,1,128,128,32,128,8308529,64.9104,16154.206413764205
S8,TS,1,128,128,32,256,16509583,64.4906,16259.361829475924
S8,TS,1,128,128,32,512,32893587,64.2453,16321.442969368965
S8,TS,1,128,256,32,32,4212163,131.6301,15932.16141292911
S8,TS,1,128,256,32,64,8308531,129.8208,16154.206413764205
S8,TS,1,128,256,32,128,16500535,128.9104,16268.291774752075
S8,TS,1,128,256,32,256,32893587,128.4906,16321.442969368965
S8,TS,1,128,256,32,512,65661587,128.2453,16352.661656996399
F4,SS,1,64,64,64,64,2181289,34.0826,15382.86398338155
F4,SS,1,64,64,64,128,4229289,33.0413,15867.656538937632
F4,SS,1,64,64,64,256,8334214,32.5555,16104.43703828846
F4,SS,1,64,64,64,512,16526214,32.2778,16242.990538388614
F4,SS,1,64,64,64,1024,32936459,32.1645,16300.206749677442
F4,SS,1,64,128,64,64,4229289,66.0826,15867.656538937632
F4,SS,1,64,128,64,128,8325783,65.0452,16120.728355051566
F4,SS,1,64,128,64,256,16526216,64.5555,16243.015699669279
F4,SS,1,64,128,64,512,32908230,64.2739,16314.180406043512
F4,SS,1,64,128,64,1024,65704412,64.1645,16341.995963500065
F4,SS,1,64,256,64,64,8319831,129.9974,16132.261106760598
F4,SS,1,64,256,64,128,16517783,129.0452,16251.29799481112
F4,SS,1,64,256,64,256,32910216,128.5555,16313.203246846693
F4,SS,1,64,256,64,512,65676232,128.2739,16349.015661019117
F4,SS,1,64,256,64,1024,131238724,128.1628,16363.188070173248
F4,SS,1,128,64,64,64,3205287,50.0826,20936.93218802538
F4,SS,1,128,64,64,128,6277287,49.0413,21381.488663636566
F4,SS,1,128,64,64,256,12428222,48.5477,21598.881100443483
F4,SS,1,128,64,64,512,24718216,48.2778,21719.630969099668
F4,SS,1,128,64,64,1024,49320588,48.1646,21770.678049854043
F4,SS,1,128,128,64,64,4245289,66.3326,31615.7063042908
F4,SS,1,128,128,64,128,8341783,65.1702,32179.615836686095
F4,SS,1,128,128,64,256,16542216,64.618,32454.61017054072
F4,SS,1,128,128,64,512,32926200,64.309,32610.55217776672
F4,SS,1,128,128,64,1024,65720557,64.1802,32675.996646940956
F4,SS,1,128,256,64,64,8336281,130.2544,32200.862312520727
F4,SS,1,128,256,64,128,16533783,129.1702,32471.14272486998
F4,SS,1,128,256,64,256,32926216,128.618,32610.55217776672
F4,SS,1,128,256,64,512,65694216,128.309,32689.086502115988
F4,SS,1,128,256,64,1024,131256736,128.1804,32721.882596715255
F4,TS,1,64,64,64,64,2164915,33.8268,15499.189991367792
F4,TS,1,64,64,64,128,4212915,32.9134,15929.317542399143
F4,TS,1,64,64,64,256,8318595,32.4945,16134.668943975134
F4,TS,1,64,64,64,512,16510110,32.2463,16258.85760536868
F4,TS,1,64,64,64,1024,32920383,32.1488,16308.16702334146
F4,TS,1,64,128,64,64,4212915,65.8268,15929.317542399143
F4,TS,1,64,128,64,128,8309584,64.9186,16152.165943196558
F4,TS,1,64,128,64,256,16510112,64.4926,16258.85760536868
F4,TS,1,64,128,64,512,32894107,64.2463,16321.188924498374
F4,TS,1,64,128,64,1024,65688666,64.1491,16345.919116558141
F4,TS,1,64,256,64,64,8309286,129.8326,16152.73821829032
F4,TS,1,64,256,64,128,16501289,128.9163,16267.547238014122
F4,TS,1,64,256,64,256,32894581,128.4945,16320.947589196427
F4,TS,1,64,256,64,512,65662107,128.2463,16352.534147183975
F4,TS,1,64,256,64,1024,131224718,128.1491,16364.937404944709
F4,TS,1,128,64,64,64,2165163,33.8307,30994.806492327974
F4,TS,1,128,64,64,128,4213163,32.9153,31856.796079634696
F4,TS,1,128,64,64,256,8318583,32.4945,32269.337887950267
F4,TS,1,128,64,64,512,16510587,32.2472,32516.807660820166
F4,TS,1,128,64,64,1024,32920966,32.1494,32615.72533235457
F4,TS,1,128,128,64,64,4213163,65.8307,31856.747687629027
F4,TS,1,128,128,64,128,8309529,64.9182,32304.53093277386
F4,TS,1,128,128,64,256,16510583,64.4945,32516.75724286567
F4,TS,1,128,128,64,512,32894587,64.2472,32641.920581752976
F4,TS,1,128,128,64,1024,65688991,64.1494,32691.685347018054
F4,TS,1,128,256,64,64,8309531,129.8364,32304.53093277386
F4,TS,1,128,256,64,128,16501535,128.9182,32534.614972905296
F4,TS,1,128,256,64,256,32894587,128.4945,32641.895178392853
F4,TS,1,128,256,64,512,65662587,128.2472,32704.83878010592
F4,TS,1,128,256,64,1024,131225323,128.1497,32729.721567822635
