Op,Format,ABLayout,CTAGroup,Collector,M,N,K,PipelineDepth,Cycles,CyclesPerMMA,FLOPsPerCycle
WS,BF16,TS,1,reuse,32,256,16,256,8352038,32.6251,8035.04050562297
WS,BF16,TS,1,reuse,64,64,16,16,371647,23.2279,5642.869135823728
WS,BF16,TS,1,reuse,64,64,16,32,630140,19.6919,6656.13780285295
WS,BF16,TS,1,reuse,64,64,16,64,1142140,17.8459,7344.656195540712
WS,BF16,TS,1,reuse,64,64,16,128,2166140,16.923,7745.1988418129185
WS,BF16,TS,1,reuse,64,64,16,256,4223564,16.4983,7944.576107841413
WS,BF16,TS,1,reuse,64,128,16,16,630773,39.4233,6649.468715201417
WS,BF16,TS,1,reuse,64,128,16,32,1143391,35.731,7336.598471915144
WS,BF16,TS,1,reuse,64,128,16,64,2167391,33.8655,7740.739100264282
WS,BF16,TS,1,reuse,64,128,16,128,4215391,32.9327,7959.991133432729
WS,BF16,TS,1,reuse,64,128,16,256,8320917,32.5036,8065.0758685191795
WS,BF16,TS,1,reuse,64,256,16,16,1142773,71.4233,7340.573734341595
WS,BF16,TS,1,reuse,64,256,16,32,2167391,67.731,7740.739100264282
WS,BF16,TS,1,reuse,64,256,16,64,4215391,65.8655,7959.979048211887
WS,BF16,TS,1,reuse,64,256,16,128,8311668,64.9349,8074.055708101499
WS,BF16,TS,1,reuse,64,256,16,256,16512504,64.502,8128.244085454715
WS,BF16,TS,1,reuse,128,64,16,16,628770,39.2981,6670.653288581382
WS,BF16,TS,1,reuse,128,64,16,32,1141389,35.6684,7349.474604972469
WS,BF16,TS,1,reuse,128,64,16,64,2165389,33.8342,7747.9000537917245
WS,BF16,TS,1,reuse,128,64,16,128,4213389,32.9171,7963.763515011955
WS,BF16,TS,1,reuse,128,64,16,256,8318811,32.4954,8067.1110372545045
WS,BF16,TS,1,reuse,128,128,16,16,1140523,71.2827,7355.052488191384
WS,BF16,TS,1,reuse,128,128,16,32,2165018,67.6568,7749.228458928001
WS,BF16,TS,1,reuse,128,128,16,64,4213017,65.8284,7964.465185239197
WS,BF16,TS,1,reuse,128,128,16,128,8309757,64.92,8075.908810844116
WS,BF16,TS,1,reuse,128,128,16,256,16509943,64.492,8129.504434658562
WS,BF16,TS,1,reuse,128,256,16,16,2164770,135.2981,7750.116224839817
WS,BF16,TS,1,reuse,128,256,16,32,4213389,131.6684,7963.763515011955
WS,BF16,TS,1,reuse,128,256,16,64,8309883,129.8419,8075.7906346102445
WS,BF16,TS,1,reuse,128,256,16,128,16501883,128.921,8133.477090621389
WS,BF16,TS,1,reuse,128,256,16,256,32894811,128.4954,8160.416637482744
WS,TF32,SS,1,reuse,32,64,8,16,368645,23.0403,1422.203703944827
WS,TF32,SS,1,reuse,32,64,8,32,609264,19.0395,1721.053599096615
WS,TF32,SS,1,reuse,32,64,8,64,1089264,17.0197,1925.2983307578863
WS,TF32,SS,1,reuse,32,64,8,128,2049264,16.0099,2046.7335835951508
WS,TF32,SS,1,reuse,32,64,8,256,3978685,15.5417,2108.392260820888
WS,TF32,SS,1,reuse,32,128,8,16,432770,27.0481,2422.9428314742995
WS,TF32,SS,1,reuse,32,128,8,32,721389,22.5434,2907.1036312180063
WS,TF32,SS,1,reuse,32,128,8,64,1297389,20.2717,3232.881307438449
WS,TF32,SS,1,reuse,32,128,8,128,2449389,19.1359,3424.7670608646577
WS,TF32,SS,1,reuse,32,128,8,256,4762810,18.6047,3522.5507533042723
WS,TF32,SS,1,reuse,32,256,8,16,676770,42.2981,3098.768029769659
WS,TF32,SS,1,reuse,32,256,8,32,1189389,37.1684,3526.4364352514503
WS,TF32,SS,1,reuse,32,256,8,64,2213389,34.5842,3789.938758161241
WS,TF32,SS,1,reuse,32,256,8,128,4261389,33.2921,3937.030106241421
WS,TF32,SS,1,reuse,32,256,8,256,8366808,32.6828,4010.427503151505
WS,TF32,SS,1,reuse,64,64,8,16,501647,31.3529,2090.2691617043397
WS,TF32,SS,1,reuse,64,64,8,32,870266,27.1958,2409.7838636848337
WS,TF32,SS,1,reuse,64,64,8,64,1606266,25.0979,2611.2144840803417
WS,TF32,SS,1,reuse,64,64,8,128,3078266,24.049,2725.102914882116
WS,TF32,SS,1,reuse,64,64,8,256,6031194,23.5594,2781.7346791514215
WS,TF32,SS,1,reuse,64,128,8,16,660770,41.2981,3173.8021846041347
WS,TF32,SS,1,reuse,64,128,8,32,1173387,36.6683,3574.5316799524385
WS,TF32,SS,1,reuse,64,128,8,64,2197387,34.3342,3817.534703007497
WS,TF32,SS,1,reuse,64,128,8,128,4245387,33.1671,3951.8679655441692
WS,TF32,SS,1,reuse,64,128,8,256,8350808,32.6203,4018.111421415499
WS,TF32,SS,1,reuse,64,256,8,16,1172770,73.2981,3576.4092111528125
WS,TF32,SS,1,reuse,64,256,8,32,2197389,68.6684,3817.534703007497
WS,TF32,SS,1,reuse,64,256,8,64,4245389,66.3342,3951.8679655441692
WS,TF32,SS,1,reuse,64,256,8,128,8341883,65.171,4022.402602384496
WS,TF32,SS,1,reuse,64,256,8,256,16540824,64.6126,4057.165320695963
WS,TF32,SS,1,reuse,128,64,8,16,774770,48.4231,2706.807288257051
WS,TF32,SS,1,reuse,128,64,8,32,1399387,43.7308,2997.2467917348868
WS,TF32,SS,1,reuse,128,64,8,64,2647387,41.3654,3168.6385239838123
WS,TF32,SS,1,reuse,128,64,8,128,5143387,40.1827,3261.901265967693
WS,TF32,SS,1,reuse,128,64,8,256,10144808,39.6282,3307.5436179286467
WS,TF32,SS,1,reuse,128,128,8,16,1172773,73.2983,3576.399452647606
WS,TF32,SS,1,reuse,128,128,8,32,2197391,68.6685,3817.529143639369
WS,TF32,SS,1,reuse,128,128,8,64,4245391,66.3342,3951.8679655441692
WS,TF32,SS,1,reuse,128,128,8,128,8341687,65.1694,4022.5013579993065
WS,TF32,SS,1,reuse,128,128,8,256,16542869,64.6206,4056.663045530373
WS,TF32,SS,1,reuse,128,256,8,16,2196770,137.2981,3818.6107455237907
WS,TF32,SS,1,reuse,128,256,8,32,4245389,132.6684,3951.8679655441692
WS,TF32,SS,1,reuse,128,256,8,64,8336387,130.256,4025.058346640462
WS,TF32,SS,1,reuse,128,256,8,128,16533883,129.171,4058.867702502884
WS,TF32,SS,1,reuse,128,256,8,256,32926808,128.6203,4076.2461291102577
WS,TF32,TS,1,reuse,32,64,8,16,265531,16.5957,1974.4873672095782
WS,TF32,TS,1,reuse,32,64,8,32,411265,12.852,2549.6420790538436
WS,TF32,TS,1,reuse,32,64,8,64,699263,10.926,2999.084751967783
WS,TF32,TS,1,reuse,32,64,8,128,1275263,9.963,3288.9691859881564
WS,TF32,TS,1,reuse,32,64,8,256,2436242,9.5166,3443.246537628985
WS,TF32,TS,1,reuse,32,128,8,16,389272,24.3295,2693.6846215499704
WS,TF32,TS,1,reuse,32,128,8,32,645891,20.1841,3246.912173443453
WS,TF32,TS,1,reuse,32,128,8,64,1157891,18.092,3622.374530179085
WS,TF32,TS,1,reuse,32,128,8,128,2181891,17.046,3844.655637686261
WS,TF32,TS,1,reuse,32,128,8,256,4239239,16.5595,3957.607415682841
WS,TF32,TS,1,reuse,32,256,8,16,662522,41.4076,3165.4092485437454
WS,TF32,TS,1,reuse,32,256,8,32,1175141,36.7232,3569.187870338097
WS,TF32,TS,1,reuse,32,256,8,64,2199141,34.3616,3814.490594151611
WS,TF32,TS,1,reuse,32,256,8,128,4247141,33.1808,3950.236281222876
WS,TF32,TS,1,reuse,32,256,8,256,8352491,32.6269,4017.2986094296425
WS,TF32,TS,1,reuse,64,64,8,16,373272,23.3295,2809.1472170428
WS,TF32,TS,1,reuse,64,64,8,32,629767,19.6802,3330.0474588672882
WS,TF32,TS,1,reuse,64,64,8,64,1141767,17.8401,3673.5220094057768
WS,TF32,TS,1,reuse,64,64,8,128,2165767,16.9201,3873.2631603832124
WS,TF32,TS,1,reuse,64,64,8,256,4222819,16.4954,3972.98640833202
WS,TF32,TS,1,reuse,64,128,8,16,630522,39.4076,3326.058932794689
WS,TF32,TS,1,reuse,64,128,8,32,1143141,35.7232,3669.100192591929
WS,TF32,TS,1,reuse,64,128,8,64,2167141,33.8616,3870.815318827226
WS,TF32,TS,1,reuse,64,128,8,128,4215141,32.9308,3980.2251995092743
WS,TF32,TS,1,reuse,64,128,8,256,8320491,32.5019,4032.748854682342
WS,TF32,TS,1,reuse,64,256,8,16,1142522,71.4076,3671.0938331494126
WS,TF32,TS,1,reuse,64,256,8,32,2167141,67.7232,3870.815318827226
WS,TF32,TS,1,reuse,64,256,8,64,4215141,65.8616,3980.2251995092743
WS,TF32,TS,1,reuse,64,256,8,128,8311757,64.9356,4036.984335249078
WS,TF32,TS,1,reuse,64,256,8,256,16512491,64.5019,4064.12834350616
WS,TF32,TS,1,reuse,128,64,8,16,628522,39.2826,3336.6426865838816
WS,TF32,TS,1,reuse,128,64,8,32,1141017,35.6568,3675.9327814049498
WS,TF32,TS,1,reuse,128,64,8,64,2165017,33.8284,3874.6142294640003
WS,TF32,TS,1,reuse,128,64,8,128,4213017,32.9142,3982.2325926195986
WS,TF32,TS,1,reuse,128,64,8,256,8317877,32.4917,4034.0148407131664
WS,TF32,TS,1,reuse,128,128,8,16,1141022,71.3139,3675.917317661774
WS,TF32,TS,1,reuse,128,128,8,32,2165641,67.6763,3873.497812380405
WS,TF32,TS,1,reuse,128,128,8,64,4213641,65.8381,3981.645885892819
WS,TF32,TS,1,reuse,128,128,8,128,8310133,64.9229,4037.7740365880145
WS,TF32,TS,1,reuse,128,128,8,256,16510691,64.4949,4064.569446576396
WS,TF32,TS,1,reuse,128,256,8,16,2164522,135.2826,3875.50209709157
WS,TF32,TS,1,reuse,128,256,8,32,4213017,131.6568,3982.2325926195986
WS,TF32,TS,1,reuse,128,256,8,64,8309636,129.8381,4038.013495268338
WS,TF32,TS,1,reuse,128,256,8,128,16501636,128.919,4066.8016351352394
WS,TF32,TS,1,reuse,128,256,8,256,32893877,128.4917,4080.325810927865
WS,E4M3,SS,1,reuse,32,64,32,32,609265,19.0395,6884.21439638646
WS,E4M3,SS,1,reuse,32,64,32,64,1089265,17.0198,7701.148074595471
WS,E4M3,SS,1,reuse,32,64,32,128,2049265,16.0099,8186.934334380603
WS,E4M3,SS,1,reuse,32,64,32,256,3978689,15.5418,8433.51477949787
WS,E4M3,SS,1,reuse,32,64,32,512,7816829,15.2672,8585.202263676378
WS,E4M3,SS,1,reuse,32,128,32,32,721390,22.5434,11628.414524872025
WS,E4M3,SS,1,reuse,32,128,32,64,1297390,20.2717,12931.525229753795
WS,E4M3,SS,1,reuse,32,128,32,128,2449390,19.1359,13699.06824345863
WS,E4M3,SS,1,reuse,32,128,32,256,4762814,18.6047,14090.20301321709
WS,E4M3,SS,1,reuse,32,128,32,512,9370205,18.3012,14323.869473040018
WS,E4M3,SS,1,reuse,32,256,32,32,1189265,37.1645,14107.225981783693
WS,E4M3,SS,1,reuse,32,256,32,64,2213265,34.5823,15160.587930820104
WS,E4M3,SS,1,reuse,32,256,32,128,4261265,33.2911,15748.59346792386
WS,E4M3,SS,1,reuse,32,256,32,256,8365886,32.6792,16043.477196504198
WS,E4M3,SS,1,reuse,32,256,32,512,16557546,32.339,16212.25146108414
WS,E4M3,SS,1,reuse,64,64,32,32,870264,27.1958,9639.135454739335
WS,E4M3,SS,1,reuse,64,64,32,64,1606264,25.0979,10444.857936321367
WS,E4M3,SS,1,reuse,64,64,32,128,3078264,24.0489,10900.45698555859
WS,E4M3,SS,1,reuse,64,64,32,256,6031688,23.5613,11126.04143234881
WS,E4M3,SS,1,reuse,64,64,32,512,11919686,23.2806,11260.190888550982
WS,E4M3,SS,1,reuse,64,128,32,32,1173265,36.6645,14299.608613236238
WS,E4M3,SS,1,reuse,64,128,32,64,2197263,34.3322,15271.028364043084
WS,E4M3,SS,1,reuse,64,128,32,128,4245263,33.1661,15807.948477511676
WS,E4M3,SS,1,reuse,64,128,32,256,8350441,32.6189,16073.135513459989
WS,E4M3,SS,1,reuse,64,128,32,512,16542197,32.309,16227.30508527036
WS,E4M3,SS,1,reuse,64,256,32,32,2197265,68.6645,15271.00612397964
WS,E4M3,SS,1,reuse,64,256,32,64,4245265,66.3323,15807.924646062325
WS,E4M3,SS,1,reuse,64,256,32,128,8341310,65.1665,16090.721459645678
WS,E4M3,SS,1,reuse,64,256,32,256,16541885,64.6167,16227.631556548076
WS,E4M3,SS,1,reuse,64,256,32,512,32926489,64.3095,16305.149316974941
WS,E4M3,SS,1,reuse,128,64,32,32,1399265,43.727,11990.029043840192
WS,E4M3,SS,1,reuse,128,64,32,64,2647263,41.3635,12675.136291658104
WS,E4M3,SS,1,reuse,128,64,32,128,5143263,40.1817,13047.929778978989
WS,E4M3,SS,1,reuse,128,64,32,256,10144932,39.6286,13230.040930035379
WS,E4M3,SS,1,reuse,128,64,32,512,20127533,39.3116,13336.725037902299
WS,E4M3,SS,1,reuse,128,128,32,32,2197389,68.6684,15270.138812029987
WS,E4M3,SS,1,reuse,128,128,32,64,4245389,66.3342,15807.471862176677
WS,E4M3,SS,1,reuse,128,128,32,128,8341881,65.1709,16089.635097873437
WS,E4M3,SS,1,reuse,128,128,32,256,16542809,64.6203,16226.727514418844
WS,E4M3,SS,1,reuse,128,128,32,512,32926813,64.3102,16304.971839614867
WS,E4M3,SS,1,reuse,128,256,32,32,4245265,132.6645,15807.936561778019
WS,E4M3,SS,1,reuse,128,256,32,64,8335925,130.2488,16101.123388468839
WS,E4M3,SS,1,reuse,128,256,32,128,16532976,129.1639,16236.363256296843
WS,E4M3,SS,1,reuse,128,256,32,256,32927026,128.6212,16304.870425715202
WS,E4M3,SS,1,reuse,128,256,32,512,65695008,128.3106,16344.339438830464
WS,E4M3,TS,1,reuse,32,64,32,32,411888,12.8715,10183.117740745058
WS,E4M3,TS,1,reuse,32,64,32,64,699888,10.9358,11985.588617202216
WS,E4M3,TS,1,reuse,32,64,32,128,1275888,9.9679,13149.40960483151
WS,E4M3,TS,1,reuse,32,64,32,256,2436444,9.5174,13771.828440540483
WS,E4M3,TS,1,reuse,32,64,32,512,4741755,9.2612,14152.809571113894
WS,E4M3,TS,1,reuse,32,128,32,32,646265,20.1958,12980.124580358293
WS,E4M3,TS,1,reuse,32,128,32,64,1158265,18.0979,14484.774476596733
WS,E4M3,TS,1,reuse,32,128,32,128,2182265,17.0489,15376.006663186481
WS,E4M3,TS,1,reuse,32,128,32,256,4239193,16.5593,15830.620859577397
WS,E4M3,TS,1,reuse,32,128,32,512,8334843,16.279,16103.20044228761
WS,E4M3,TS,1,reuse,32,256,32,32,1175391,36.731,14273.719746263374
WS,E4M3,TS,1,reuse,32,256,32,64,2199391,34.3655,15256.230812879197
WS,E4M3,TS,1,reuse,32,256,32,128,4247391,33.1827,15800.040382488467
WS,E4M3,TS,1,reuse,32,256,32,256,8352206,32.6258,16069.736221027531
WS,E4M3,TS,1,reuse,32,256,32,512,16544866,32.3142,16224.693787870348
WS,E4M3,TS,1,reuse,64,64,32,32,629891,19.6841,13317.550713520048
WS,E4M3,TS,1,reuse,64,64,32,64,1141891,17.842,14692.523259724247
WS,E4M3,TS,1,reuse,64,64,32,128,2165891,16.921,15492.228591690799
WS,E4M3,TS,1,reuse,64,64,32,256,4223315,16.4973,15890.11535220915
WS,E4M3,TS,1,reuse,64,64,32,512,8319314,16.2487,16133.229119868052
WS,E4M3,TS,1,reuse,64,128,32,32,1143391,35.731,14673.196943830288
WS,E4M3,TS,1,reuse,64,128,32,64,2167391,33.8655,15481.478200528563
WS,E4M3,TS,1,reuse,64,128,32,128,4215391,32.9327,15919.982266865458
WS,E4M3,TS,1,reuse,64,128,32,256,8320917,32.5036,16130.151737038359
WS,E4M3,TS,1,reuse,64,128,32,512,16512871,32.2517,16256.135335501694
WS,E4M3,TS,1,reuse,64,256,32,32,2167391,67.731,15481.478200528563
WS,E4M3,TS,1,reuse,64,256,32,64,4215391,65.8655,15919.958096423774
WS,E4M3,TS,1,reuse,64,256,32,128,8311668,64.9349,16148.111416202997
WS,E4M3,TS,1,reuse,64,256,32,256,16512442,64.5017,16256.563780489507
WS,E4M3,TS,1,reuse,64,256,32,512,32896866,64.2517,16319.817218844015
WS,E4M3,TS,1,reuse,128,64,32,32,1141389,35.6684,14698.949209944938
WS,E4M3,TS,1,reuse,128,64,32,64,2165389,33.8342,15495.800107583449
WS,E4M3,TS,1,reuse,128,64,32,128,4213389,32.9171,15927.52703002391
WS,E4M3,TS,1,reuse,128,64,32,256,8318811,32.4954,16134.222074509009
WS,E4M3,TS,1,reuse,128,64,32,512,16510813,32.2477,16258.151744155397
WS,E4M3,TS,1,reuse,128,128,32,32,2165017,67.6568,15498.456917856001
WS,E4M3,TS,1,reuse,128,128,32,64,4213017,65.8284,15928.930370478394
WS,E4M3,TS,1,reuse,128,128,32,128,8309757,64.92,16151.817621688231
WS,E4M3,TS,1,reuse,128,128,32,256,16509943,64.492,16259.008869317124
WS,E4M3,TS,1,reuse,128,128,32,512,32893943,64.246,16321.265137129161
WS,E4M3,TS,1,reuse,128,256,32,32,4213389,131.6684,15927.52703002391
WS,E4M3,TS,1,reuse,128,256,32,64,8309883,129.8419,16151.581269220489
WS,E4M3,TS,1,reuse,128,256,32,128,16501883,128.921,16266.954181242778
WS,E4M3,TS,1,reuse,128,256,32,256,32894811,128.4954,16320.833274965487
WS,E4M3,TS,1,reuse,128,256,32,512,65662811,128.2477,16352.355636787248
WS,S8,SS,1,reuse,32,64,32,32,608390,19.0122,6894.099578165599
WS,S8,SS,1,reuse,32,64,32,64,1088390,17.0061,7707.352067787441
WS,S8,SS,1,reuse,32,64,32,128,2048390,16.003,8190.46428794601
WS,S8,SS,1,reuse,32,64,32,256,3977814,15.5383,8435.414427575732
WS,S8,SS,1,reuse,32,64,32,512,7816326,15.2663,8585.708390376189
WS,S8,SS,1,reuse,32,128,32,32,720515,22.5161,11642.513579172235
WS,S8,SS,1,reuse,32,128,32,64,1296515,20.258,12940.27051041564
WS,S8,SS,1,reuse,32,128,32,128,2448515,19.129,13704.009618903236
WS,S8,SS,1,reuse,32,128,32,256,4761939,18.6013,14092.778461720418
WS,S8,SS,1,reuse,32,128,32,512,9369330,18.2995,14325.200142080386
WS,S8,SS,1,reuse,32,256,32,32,1188265,37.1333,14119.079101507274
WS,S8,SS,1,reuse,32,256,32,64,2212265,34.5666,15167.473804192487
WS,S8,SS,1,reuse,32,256,32,128,4260265,33.2833,15752.284178552009
WS,S8,SS,1,reuse,32,256,32,256,8364886,32.6753,16045.392085153006
WS,S8,SS,1,reuse,32,256,32,512,16556546,32.337,16213.25416705322
WS,S8,SS,1,reuse,64,64,32,32,869389,27.1684,9648.856760059482
WS,S8,SS,1,reuse,64,64,32,64,1605389,25.0842,10450.56250548154
WS,S8,SS,1,reuse,64,64,32,128,3077389,24.0421,10903.540040179518
WS,S8,SS,1,reuse,64,64,32,256,6030813,23.5579,11127.647201151207
WS,S8,SS,1,reuse,64,64,32,512,11917075,23.2755,11262.658159867671
WS,S8,SS,1,reuse,64,128,32,32,1172265,36.6333,14311.787362863843
WS,S8,SS,1,reuse,64,128,32,64,2196263,34.3166,15277.970428305835
WS,S8,SS,1,reuse,64,128,32,128,4244263,33.1583,15811.667063751762
WS,S8,SS,1,reuse,64,128,32,256,8349441,32.615,16075.05748888548
WS,S8,SS,1,reuse,64,128,32,512,16541204,32.307,16228.309654254495
WS,S8,SS,1,reuse,64,256,32,32,2196265,68.6333,15277.948168017565
WS,S8,SS,1,reuse,64,256,32,64,4244265,66.3166,15811.667063751762
WS,S8,SS,1,reuse,64,256,32,128,8340310,65.1587,16092.64764336919
WS,S8,SS,1,reuse,64,256,32,256,16540885,64.6128,16228.611049203875
WS,S8,SS,1,reuse,64,256,32,512,32925492,64.3076,16305.631060714442
WS,S8,SS,1,reuse,128,64,32,32,1398265,43.6958,11998.590253525512
WS,S8,SS,1,reuse,128,64,32,64,2646263,41.3479,12679.918448095308
WS,S8,SS,1,reuse,128,64,32,128,5142263,40.1739,13050.46311162222
WS,S8,SS,1,reuse,128,64,32,256,10143932,39.6247,13231.34307641446
WS,S8,SS,1,reuse,128,64,32,512,20126533,39.3096,13337.403585892504
WS,S8,SS,1,reuse,128,128,32,32,2196389,68.6372,15277.080067368714
WS,S8,SS,1,reuse,128,128,32,64,4244389,66.3186,15811.19022416034
WS,S8,SS,1,reuse,128,128,32,128,8340881,65.1631,16091.561021498363
WS,S8,SS,1,reuse,128,128,32,256,16541809,64.6164,16227.706897939222
WS,S8,SS,1,reuse,128,128,32,512,32925813,64.3082,16305.478928037171
WS,S8,SS,1,reuse,128,256,32,32,4244265,132.6333,15811.655142411446
WS,S8,SS,1,reuse,128,256,32,64,8334925,130.2332,16103.052063529114
WS,S8,SS,1,reuse,128,256,32,128,16531976,129.1561,16237.343803351137
WS,S8,SS,1,reuse,128,256,32,256,32926026,128.6173,16305.364830392178
WS,S8,SS,1,reuse,128,256,32,512,65694008,128.3086,16344.5942049091
WS,S8,TS,1,reuse,32,64,32,32,413138,12.9106,10152.27797313835
WS,S8,TS,1,reuse,32,64,32,64,701138,10.9553,11964.254744279026
WS,S8,TS,1,reuse,32,64,32,128,1277138,9.9776,13136.626042334829
WS,S8,TS,1,reuse,32,64,32,256,2437694,9.5222,13764.886265778918
WS,S8,TS,1,reuse,32,64,32,512,4743107,9.2639,14148.684679238766
WS,S8,TS,1,reuse,32,128,32,32,645266,20.1646,13000.208285807801
WS,S8,TS,1,reuse,32,128,32,64,1157266,18.0823,14497.270811788323
WS,S8,TS,1,reuse,32,128,32,128,2181266,17.0411,15383.044521773829
WS,S8,TS,1,reuse,32,128,32,256,4238194,16.5554,15834.350121410538
WS,S8,TS,1,reuse,32,128,32,512,8333968,16.2773,16104.882259342765
WS,S8,TS,1,reuse,32,256,32,32,1174391,36.6997,14285.893345177208
WS,S8,TS,1,reuse,32,256,32,64,2198391,34.3499,15263.15942695612
WS,S8,TS,1,reuse,32,256,32,128,4246391,33.1749,15803.755248697056
WS,S8,TS,1,reuse,32,256,32,256,8351206,32.6219,16071.657383536829
WS,S8,TS,1,reuse,32,256,32,512,16543866,32.3122,16225.69803356008
WS,S8,TS,1,reuse,64,64,32,32,629016,19.6567,13336.114403740201
WS,S8,TS,1,reuse,64,64,32,64,1141016,17.8284,14703.731125619799
WS,S8,TS,1,reuse,64,64,32,128,2165016,16.9142,15498.456917856001
WS,S8,TS,1,reuse,64,64,32,256,4222440,16.4939,15893.390889965382
WS,S8,TS,1,reuse,64,64,32,512,8318439,16.247,16134.917215485935
WS,S8,TS,1,reuse,64,128,32,32,1142391,35.6997,14686.06178763407
WS,S8,TS,1,reuse,64,128,32,64,2166391,33.8499,15488.612964883207
WS,S8,TS,1,reuse,64,128,32,128,4214391,32.9249,15923.753754757037
